//@辣叶摧秋:换手机，明大义！//@血色军刀999:危难时刻现同胞情！	未
迁西一小区至今未供暖！究竟怎么回事?	未
迁西下周（12月3日-12月9日）限行提醒！	未
迁西各村交了220元新农合的快看！这些你知道吗	未
迁西来了一条跨越千里的长江滑鱼，引来万人围观！	未
迁西检察： 12309检察服务中心正式揭牌运行	未
。。。。迄今为止徐老师已经客串多部超级英雄电影//@小奶球: 我//@Tiger公子://@千语之风://@知识丰富蓝猫酱: 转发微博	未
迅达电梯上海分公司未按技术规范保养电梯被罚5万！	未
迅速反应，整治饶平街头的捐衣箱 ！发现赶紧举报！	未
迅速开扫抢99元先到先得扫起来	未
过12点双12你们准备好了吗咱家又开始打折扣了！	未
过不去的就搁着 忘不了的就记着 又能怎样 还能怎样 就这样吧 总要接着活 这话说给你听 也是在说给我 情感V时代《孤》	未
【过与悔】房管局长的"富贵险中求"	未
过世26年的人，要如何开具死亡证明	未
过两天从东京直接回西安，回家真开心啊哈哈哈//@小狐咖狸:我就不一样了，天天在家被骂//@太皇太后您有喜啦:还有期末考试的时候//@吃不胖的小5:再坚持坚持就放假了//@啊就是想改个名字:是我本人了 元旦回家 ()//@驸马侯三: 双手双脚举起来//@柏正正:Me	未
！过两天开	未
过个体面的年要花多少钱，看到的一句戳心的话：哪有什么选择恐惧症，还不是因为穷哪有什么优柔寡断，还不是因为怂。	未
过个暖冬3秒速热的家居服，一件1床厚棉被	未
过个暖冬 今天头条帮朋友卖个车...	未
过了12点了，又可以领大包了	未
过了20个8岁生日 冻龄男孩走出半生归来仍是少年	未
过了今天，气温就会慢慢从冰窖里爬出来了	未
过了保质期的食品到底还能吃嘛答案有点意外了	未
过了十二点请大家来我首页看看置顶给我扫一下红包吧 我被限流了	未
过了双十二吃土吃土不存在的！没钱的时候你都干过什么机智的事情	未
过了双十二吃土说得你以前吃的不是土一样，双十一过后一直都在吃土好不	未
过了国家公祭日就可以任性？ 这部法规告诉你：不可以！	未
过了很多年再想起你 心里依然会泛起涟漪 我都快忘了当时爱你的感觉 只知道在爱你这件事上 我花光了所有的力气 最后依然无疾而终 现在想想 觉得自己真是个傻子 连好好爱自己都没学会 还要去爱别人 可是在爱情面前 谁没当过傻子呢	未
过了很多年才知道，当年急于舍弃的，却是现在想找也难以找到的。	未
过了，过了。	未
过了这么多千篇一律的春节，这次我们换个过法	未
过了锁定期，债转慢属于逾期吗	未
过了零点又可以领新的	未
过于真实举报了//@一只分裂的小猴子elva:	未
过于真实，太扎心了 红人的诞生 V影响力峰会	未
过于真实，真的想要了！！//@喜脉洗脉:天哪，宫里的娘娘用的也太高级了吧	未
过冬中的龟死亡情况如何防治加天气预报《专为养殖新手视频在线播放》	未
过冬至 吃饺子 开通巷社区把关爱送给社区群众（文/记者 雷县鸿  图/首席记者李明实习生徐楠）和馅擀皮包饺子，下饺子吃饺子，小小的房间里充满了欢声笑语，20日中午，柏树林街道办事处开通巷社区在冬至来临之际，邀请环卫工人社区孤寡老人等一起吃饺子，把温暖送到群众身边。开通巷社 ...全文	未
过冼村派出所后，不敢过华林街派出所。即日起再路过深圳，我还是只在高铁站里面吃饭得了。看来得给冼村派出所送锦旗了。	未
过几天 台海有可能会画防空圈了	未
过几天，寻乌县蔬菜主题文化公园将有大事发生.......	未
过分！他俩偷偷遥控电子秤坑人，190斤的大米竟称出370斤！	未
过分//@宅宋喵: 过分啊//@汶基洛特驾驶员: 变的累死了//@Striebro:变色龙好惨哦	未
过分！小伙化妆成女性在路边揽客，更可怕的是他还感染了艾滋病	未
过分！平湖路上这几辆出租车未礼让斑马线被曝光了！你遇到过吗	未
过分！桂林某快递站遇到一件尴尬事，做这个生意的老板们赶紧看！	未
过劲！阜阳部分城区3年拆迁计划流出！涉及人口逾8970户！	未
过劳回现象	未
过劳肥你中招了吗?工作那么累，体重怎么还在飙升你大概是职场过劳肥综合征了！专家称：工作压力大，饮食不规律，凌晨才睡觉，这样工作状态的人很容易出现过劳肥。记者，IT人员等是最容易中招的人群，此类岗位，五分之二的人会发胖，工作三年后，15的人会胖9公斤。中招默默转。	未
过劳肥你中招了吗?工作那么累，体重怎么还在飙升你大概是职场过劳肥综合征了！专家称：工作压力大，饮食不规律，凌晨才睡觉，这样工作状态的人很容易出现过劳肥记者，IT人员等是最容易中招的人群，此类岗位，五分之二的人会发胖，工作三年后，15的人会胖9公斤中招默默转	未
过千，见转下，完成后在评论里打卡微博正文	未
过午不食的午是几点	未
过半职工收入不超5000元，10年后每个人的月收入会是多少呢先说一下，每个人的平均收入，这一说法本来就有问题。难道自己和自己平均。所以应该是想问社会的平均收入会有多少但是这个层面的问题又没有多大的意义。（小白读财经）	未
过去100年，美国人就这样看中国和世界！这张图太发人深省数据很直接：美国已将中国当成了最主要的对手，而且，一年比一年更关注，这是中国崛起后的必然，应该是想躲也躲不过去的。（牛弹琴）	未
过去10周下跌逾30！油价或将迎来技术面转机Kimble Charting Solutions策略分析师Chris Kimble周三指出，原油价格在过去10周内下跌超过30，不过目前或将迎来转机。原油价格目前正在测试过去三年上升通道的底部。过去10周下跌逾30！油价或将迎来技术面转机	未
过去12天，宜宾人你的双11快递收到了吗	未
过去20多年，你以为日本人在睡觉不，你在睡觉的时候，他在奔跑徐静波在创新全球论坛上的谬论	未
过去37年，美股有14183家公司退市，占比高达72%，怎么做到的？	未
过去3个赛季，詹姆斯和杜兰特在相互防守下的数据：在杜兰特的防守下，詹姆斯一共得到107分，61命中率，21个失误在詹姆斯的防守下，杜兰特一共得到68分，45命中率，5个失误。NBA吐槽大会	未
过去5场比赛，其实湖人的防守效率比灰熊还好，湖人防守效率102.7，灰熊的防守效率105.1。灰熊过去5场3胜2负，输过尼克斯也赢过快船！灰熊的进攻效率也不如湖人，不要怂，就是干！	未
过去7场比赛，詹姆斯场均30.4分，第四节场均9.7分本赛季詹姆斯场均28.3分，第四节场均8.6分。本赛季太多第四节carry了！	未
过去8场比赛，哈登已入化境，场均可以得到37.8分，真MVP模式。NBA吐槽大会	未
过去与现在之梅西	未
过去中国去南洋和海外的大部分还都是国内混不下去，要饿死穷死的人，就这么一批人去了南洋也控制了他们的经济命脉，如果去欧美的是精英呢华人努力工作犯罪率低重视教育，但缺乏武德只打嘴炮，内部无法产生自发秩序，需要和平环境和保护人，只做事不敢闹事，所以民主环境下就吃亏。	未
过去，你有想过用一部手机，就能搞定日常出行吗把门卡银行卡和公交卡都放进手机，出门一部小米手机就够了，这就是小米手机便捷出行。看2018年小米钱包智慧出行大事记找神秘彩蛋信息，下午晚些时候我来揭晓答案。	未
过去和现在。	未
过去已过去 未来要珍惜	未
过去，死刑犯的子弹钱是死者家属出的	未
过去百年美国人这样看中国和世界 这图太发人深省	未
过去的一周，庐山交警做了什么	未
过去的一页，能不翻就不要翻，翻落了灰尘会迷了双眼	未
过去的你不会让现在的你满意，现在的你也不会让未来的你满意。所谓一个人的长大，也便是敢于惨烈地面对自己：在选择前，有一张真诚坚定的脸在选择后，有一颗绝不改变的心。	未
过去的这个周末 成都民营老板们收到了资格大红包	未
过去的都会过去，该来的都在路上。  英国摄影师：LUKE	未
过去看见落后地区有关部门干蠢事，或者不干正事，会生气。现在明白了，他们都不算特意的坏人。没有他们。哪有那么多聪明勤快漂亮的人非要来北上广深建设祖国呢。	未
过去被人当煤卖，如今成了新材料之王！它就是	未
过后删今天又被伊布控制了（   ）沉迷宝可梦已经不记得文怎么写了(/)	未
过后删其实之前的苏麟也有点怎么说，感动自己现在的苏麟如果送两次厉骞没反应就直接清明节送花圈了（不是）	未
过后删写了敌队ad排位上分，一局排到9个自己的辅助/前辅助。对面5个，自己这边4个。结果被联合暴打。	未
过后删厉煦：给人当儿子真不容易。（我爸就是个弟弟。）	未
过后删大家好。今天什么都没有更。我虽然来了西安，但是哪里也没有去，躲在宾馆泡了一晚上温泉。现在一想到明天回去还要晕飞机，就很发愁()	未
过后删《强行报恩》明天还有10本（   ） 另外偷渡了一点组合cd去现场，今天明天都有（   ）	未
过后删我一个平均75的队伍被一只70级的超梦摁在地上摩擦！！！	未
过后删我就想写姜辛飞机吐了敌队ad一身，敌队ad气到爆炸：你跟自己队出去比赛怎么就不会吐！姜辛：我看到你就想吐！（其实是自己队的队长会给他带晕车药。）	未
过后删说起来我从初中开始就负责帮闺蜜们交思想税。后来她们谁都没进有关部门，我松了口气。这思想税以后是可以不用交了。谁能想后续还有彩虹屁呢（   ）	未
过后才知道	未
过夜游客只增不减 荷兰首都2019采取严格限制措施	未
过好自己的生活，该来的，都在路上。	未
过安检会响么	未
过完中秋节，国庆节的黑板报也在筹备，丁满拖着不愿意动手，我说再等等，我不要在里面欢度国庆欢度元旦欢度春节，就这么一直欢度下去。丁满被关在看守所的日子里，父亲请了假，每天往返于广州肇庆，主动赔偿请求受损商户出具谅解书找到丁满曾经涂鸦得奖的证书。	未
过完暑假收起来	未
过审了！	未
过客已经够多了，下一个可不可以就是一辈子。	未
过年不回家，不是不想家，而是工作等因素，离过年越近，越想家，一年就那么一次，但很多回不了家的原因，大多都说忙碌在自己工作岗位，比如军人跟警察都要坚守岗位，还有就是服务行业为了提供大家的便利，都会选择默默的守候，只有经历过的人，才会懂得过年回不了家，又想家的那份爱，所以平常有空多回家看看 为何很多人过年不回家	未
过年不胖，更待何时//@黄有凤学长:没错，是我的状态	未
过年不能回家的军人啊，愿美食和节目能带走你的相思之苦	未
过年了	未
过年了//@TiTo先生:坐等！	未
过年了，人穷不要走亲戚！	未
《过年了，想回家》听哭了！	未
过年了该治一治，老赖了！//@盘子微谈:胡钢这事还没解决//@微观昭通:三四年了，什么时候是一个头	未
过年了，酒虽好喝，但容易出丑哦 网页链接	未
过年了，阿方索卡隆《罗马》：网页链接拉斯疯的《此房是我造》：网页链接	未
过年你们去看小猪佩奇大电影吗。	未
过年后离职潮爆发，HR该如何做好留人工作看完秒懂！	未
过年回家亲戚问你为啥没对象，你会怎么回答快过年了，有必要一起来出出主意了	未
过年回家吧看看中央大街的雪，整盘锅包肉//@李燊_LS:中国有我 云涌龙江 离开了就会发现家乡有千般美好，游子想家了	未
过年回家怎么跟亲朋好友解释啥是搞机很严肃，在线等	未
过年回家是不是可以去趟安工大，找找这支抢戏的钢笔@王凯kkw	未
过年回家给我爸带几天，到时候回来看到橘点站着尿尿，不要惊讶	未
过年回家要买火车票的注意！铁路部门将推出 神器...	未
过年大老板回乡，这才叫老板！	未
过年家里要炸丸子吧今年不用了，他已经给老乡们准备好了	未
过年家里要炸丸子吧今年不用了，这个山西人已经给你准备好了！	未
过年想去河北//@白娘娘:喷了，河北塞尔达	未
过年才会上桌的老长沙火锅，现在天天能吃到xx玩乐团	未
过年期间农民朋友最忌讳的两件事，要回家的人们注意了	未
过年杀年猪的，要小心了	未
过年杀猪出歌了！你听过吗！	未
过年的小兔子我今天家庭聚会就先替你们穿啦	未
过年穿红牛，来年不发愁！	未
过年给侄子200压岁钱，哥嫂嫌少退还给我，打开我哭成泪人	未
过年要不要约个新款	未
过度医疗的界定方法 l 诸任之	未
过度消费主义不是扩大内需的正道	未
“过度留痕”的形式主义如何破除？	未
过度的坚硬往往太伤人伤己，过度的柔软又怕保护不了自己 ，要有多难才能做到一边棱角分明一边温情四溢。	未
过度诊疗如何治理重庆总结了这些经验	未
过往城区这段路的连城人，注意了...	未
过往恩施大峡谷或板桥车辆及行人请绕行屯堡大山顶（路名：堤木线 ）方向！	未
过得是好是坏，别人说没用，自己心理最清楚！卡友早安	未
过得比别人难。	未
过恶汁！潮汕某地猥琐男出没，当众解开裤子做出不可描述的动作	未
过戴高乐机场海关的旅客好多，已经50分钟了，还没有排到 //@行走40国:从上海飞了13个小时，现在落地巴黎！//@行走40国:起飞，巴黎	未
过户不足8个月账户冻结 天山生物24亿跨界并购告急	未
过把瘾就死....//@淮河之声:转发微博	未
过最省的双12就戳gtgtgt网页链接关家庄园辣么烧大刀肉 7起38个左右，红包没用的可以买这个	未
过期份日常想念天气好的时候	未
//@过期奶-: //@食堂能不能少放盐://@Adling :美//@SDZZ-1-1 ://@橘雁川 :	未
过期蜂蜜并非个例，老字号同仁堂快速扩张后隐患重重 本次过期蜂蜜事件并非个例，近年来，同仁堂曾因产品质量问题多次被各地食药监部门通报。最近一次是在今年11月，央广网报道称，在山东省药监局发布的2018年第11期中药饮片质量抽检结果中，北京同仁堂(亳州)饮片有限责任公司生产的53批次中药饮片显示不合格。而在此前的2016到2017年，同仁堂也曾因炙甘草含量测定项目不合格翻白草性状不合格熟地黄含量测定不合格等原因，一年内连续六次登上质量检查黑榜。过期蜂蜜并非个例，老字号同仁堂快速扩张后隐患重重	未
过来人曝光：四七九背后的秘密	未
“过来者”的“告诫”：贺建奎基因编辑婴儿试验前传	未
“过来者”的告诫：贺建奎基因编辑婴儿试验前传	未
过来转赞评了！！！！人家都骑在你脖子上拉屎了	未
//@过气系草王子曰:以前在青岛，买东西最怕圆通快递投递，因为说那边快递员离职了，每次拿快递得去快递站，但快递站下班比我下班早	未
过气网红迫于生计，外出务工 爱动小视频 微博视频	未
【“过水蟹”横行阳澄湖】苏州市工商等三家单位联合约谈阿里、京东、苏宁、拼多多	未
过江公交增开高峰巴士：等车时间变短 客流积压缓解	未
过江，吃饭去！萧山路边店大盘点，陈晓卿都忍不住一去再去	未
“过渡期”不是医院布草混洗的挡箭牌	未
过火大车38辆小车12辆	未
过狭窄路段，83车子会被刮花！掌握2招即可安全通过！ 过狭窄路段，83车子会被刮花！掌握2招即可安全通过！	未
过生日连红包都不给我发，这个婚还结吗（他工资全都给我，但我给零花）	未
过的不如猴系列	未
过站了非要下车 一大妈抢过公交车司机方向盘一阵猛拽，结果...	未
过站了非要下车 又有大妈抢过公交车司机方向盘猛拽，结果...	未
过站了非要下车 大妈抢过公交车司机方向盘一阵猛拽，结果...	未
过站了非要下车 大妈抢过公交车司机方向盘猛拽，结果...	未
过站了非要下车 大妈抢过公交车司机方向盘猛拽，结果	未
过站了非要下车 杭州大妈抢过公交车司机方向盘一阵猛拽，结果...	未
过站了非要下车 这位大妈抢过公交车司机方向盘一阵猛拽，结果...	未
过站非要下车 又有大妈抢公交司机方向盘，结果...	未
过站非要下车！大妈抢过公交车司机方向盘猛拽，结果	未
过红绿灯路口一定要减速注意观察并且慢行	未
过节啦！这几天连州很多村都在过解放节！你回家过节了吗	未
过草//@鄭峻: 不厚道的笑了//@7commandments:发展电动汽车，增强人民体质	未
过负荷配变下岗千余客户用电无忧近期气温骤降，11月25日，@国网略阳县供电公司 开展夜巡红外测温时，发现129城北2线，小东街分支线公网变严重过负荷。次日，该公司迅速组织人员更换过负荷配变，现场工作人员克服闹事区车流人流密集，道路窄，吊车无法发挥优势等困难，人工挪运箱变，经过5个小时的紧张施工，过负荷配变顺利下岗，千余客户用电无忧。期间，该公司还组织了搭车作业，给该线路加装了智能开关。（魏璇）	未
过路人饭团，过路人不能路过。	未
过路口还这么高的车速	未
过量供应未见改善，WTI油价失守50美元大关	未
过马路	未
过马路也能构成交通肇事这个习惯很多钟山人都有！	未
过马路先按键，潍坊城区已有22处斑马线安装使用按键式人行横道信号灯！	未
过马路看到这一幕，都来看下结果吧！	未
//@迈克吴股市下作呸:今年9月美帝就要求加蝈引渡孟，加政府一直拖到11月才同意应说加政府要求美政府提供足够信服证据后才衡量再三才决定扣人，毕竟孟在加拿大没刑事犯罪。希望孟最终能无罪释放，这事能看出中国商人困境处世多艰难，海外全球政府干了犯法。据说孟女士已5年没入美了，这点看她有所防备	未
迈克尔科恩，大统领前私人律师，判三年	未
迈克生物回应飞检不合格：公司已逐条整改	未
//@迈克陈:转发微博	未
迈凯伦720S	未
迈凯伦720S Spider 发布cars01车闻	未
迈凯伦720S Spider套出来啦！官方宣称是全球最轻的敞篷跑车，不知道莲花和KTM们对这个怎么看。不过相比于硬顶版的凶悍，敞篷版上有了更多的英伦优雅范，颇具特色的变色玻璃也挺有意思。性能也足够强悍，马力720匹，769牛米，百公里加速2.9秒，0-200km/h 7.9秒，极速341km/h，开篷极速325km/h。和法拉利最新的488劈死他敞篷版你更想要哪个呢	未
迈凯伦SENNA	未
迈凯伦，兰博基尼，保时捷，哪个是你的菜	未
迈凯伦真帅，想买！我月薪3500，你们帮我算算需要工作多少年才买得起	未
迈开步子跑起来！这群汕尾人	未
迈瑞医疗AED自动体外除颤仪捐赠仪式在京举行	未
迈腾2018款 0.5T时风版	未
迈阿密“空了”......	未
迎军运，创文明公交礼仪培训进基层	未
迎军运讲文明树新风武汉市检察院开展志愿服务主题活动	未
迎双创国检，景德镇各单位都在行动（10）	未
迎双创国检，景德镇各单位都在行动（8）	未
迎大贵 转大富	未
“迎”央企入主 荃银高科股权之争终结？	未
迎宾大道快速路二标段最新进展！主体结构全线贯通！	未
迎宾路：一客车将一电动车连人带车压在绿化带！	未
迎宾路一男子翻车后狂魔乱舞！交警通报来了！	未
迎宾路上有人私装地锁，办事处拆除了三十多把	未
迎宾道多辆车牌号被曝光，现场一帮人在骂街，被堵过的都看看	未
迎峰度冬 11月23日，国网衡东县供电公司吴集供电所的电力蜀黍们对10千伏吴栗线065号杆一组断路器进行更换，及时消除影响电网安全运行的设备缺陷，提高线路设备健康质量，积极备战电网迎峰度冬。（阳高）@国网衡阳供电公司	未
迎峰度冬 联合特巡12月17日，针对近期雨雪冰冻天气，国网江苏检修公司常州运维站组织人员对所辖变电站开展联合特巡。工作人员对注油设备油位站内积雪积冰等情况进行检查维护，为设备的稳定运行更添保障。	未
迎峰度冬进行时 天气变冷，老化线路也要换冬衣了天气一天天变冷，对电网设备线路也要给他们多一点的呵护@国网兴平市供电公司 的员工正在开展对正西西台老化的0.75km/12档陈王一村低压线路0.6km/12档绝缘线路的更换工作，提升线路绝缘率。让老百姓这个冬天暖暖的，是我们的责任	未
迎峰过冬进行时 冬日小黄帽测温忙入冬以来，随着气温不断下降，村民煤改电工作持续进行，电网负荷不断攀升。为确保居民冬季用电，12月13日，@国网西安市长安区供电公司 组织人员对辖区内线路和设备开展节点测温工作，对异常发热点进行记录和分析，及时掌握电网运行状态，确保冬季电网正常运行。（张健 李建琦）	未
迎峰过冬进行时开展综合检修 不耽误群众用电12月14日，国网商洛供电公司输电运检室利用110千伏城西线停电综合检修期间，完成了该线路的更换合成绝缘子工作，提高了线路的供电可靠性。采用综合检修的方式，可以减少线路停电次数，更重要的是最大程度保障群众在寒冬季节取暖不受影响。（米军平）	未
迎峰过冬进行时 电工叔叔一点都不冷12月12日，@国网白河县供电公司 茅坪供电所组织对辖区内的配电箱开展夜间巡视测量电流，并对电缆连接处进行测温，随时监测负荷增长情况，查看三相是否平衡，做到线路隐患早发现早准备早处理。虽然冬夜的天气很冷，但是一想到用户们的可靠用电，电力叔叔们就充满了干劲！[加油][加油]（王锦哲）	未
迎峰过冬进行时 看，2个小时，26根银线全落地！这个周末，@国网宝鸡供电公司 的近百名员工在110千伏斗鸡变电站出线拆旧现场，将110千伏马斗I马斗II斗岭I斗岭II和斗开线及通信线等所有跨越宝鸡高速出口段线路安全拆除。26根银线的拆除落地，是宝鸡电网架构优化的重要工作，也为城市美化做出贡献。（李玉朋 范文斌）	未
迎峰过冬进行时陕西省气象台继续发布低温黄色预警 陕电侠已启动相应预警行动，全面做好寒潮降温天气的防御应对工作，各级调度严密监视电网运行情况，做好寒潮降温期间的负荷预测和监测预警，合理安排电网运行方式，加强对输变配等设备设施的巡视检查和运行监控，确保电网设备安全！	未
迎峰过冬进行时顶着寒风地冻，我们仍然坚守在工作一线11月26日，@国网神木市供电公司 施工班正在对167青龙寺线路绝缘化改造，即使气温已经很低了，但是大家的工作热情丝毫不受影响，团结一心干工程。经绝缘化改造后，不仅仅提高了线路载流能力，而且增强了配电网运行的稳定性，提升了用户用电质量。（李花花）	未
迎战双12，这些设备，快递网点一个都不能少！	未
迎接47采购，重庆仿制药政策落地	未
迎接凛冽的冬天	未
迎接黄杭高铁通车，黄山市公共交通运输方案正在公示！	未
迎新季，初冬转身遇检你	未
迎检请君践行三句话	未
迎着阳光开车时，尽量使用偏光镜和遮阳板，注意观察车辆周边情况，小心驾驶	未
迎第三轮轨道建设的重庆，距离成都还有多远	未
迎跨年台北地铁连续营运42小时 部分地区交通管制	未
迎风踏雪送光明12月13日，@国网汉中供电公司 家住略阳白水江的张婆婆打来报修电话，反映家中突然断电，请白水江供电所帮忙处理。张婆婆的两个儿子都外出打工，家里只有她和两个小孙子，决不能让他们摸黑受冻。白水江供电值班员鲁杰向所长汇报后，和同时迎着寒风踏着积雪前去处理。经过检查，发现张婆婆家电线绝缘层破损，导致漏电开关动作。鲁杰和同事随即进行了修复，张婆婆家恢复了正常供电。（李哲）	未
运20为歼20加油会令其隐身暴露?专家提出一招补救	未
运20改加油机曝光 台媒:歼20有了它就能来绕台了	未
运-20“暴改款”或首飞 具有重大意义 全球仅4国能造	未
运-8Q是在最新的运-8第三类平台基础上改装而来的。该机改用了增压舱设计，并更换了带6叶桨的WJ-6C发动机，使得在推力增大的同时还更加省油。该机在机头下方安装了大型对海探测雷达和光电探测设备，尾部是又长又粗的磁异常探测器，机背上增加了许多刀状天线来探测潜艇通讯，整体性能与美国P-3C反潜机基本相当。运-8Q的机身前半段有左右两个大型弹舱，舱内可携带反潜鱼雷小型反舰导弹等多种武器，之后则是集中部署的声呐浮标发射管。	未
运动V势力 你以为就你知道冷么...他们也知道穿的比谁都厚	未
运动V势力 发布了头条文章：《生下来就被医生判死刑，她却对生活绝地反击！》生下来就被医生判死刑，她却对生活绝地反击！	未
运动V势力 胖到被群嘲，事业告吹，她怒减23斤拿回自己应有的一切！ 胖到被群嘲，事业告吹，她怒减23斤拿回自己应有的一切！	未
运动V势力 超话大神评选今日冷知识：别再说胖得像个猪一样了，猪的体脂率才15...甚至有的可以达到9.3	未
运动V势力超话大神评选 我第一次意识自己猥琐颈的时候，大约是在10年前，当时在暗恋的对象面前别有用心地显摆身材，结果对方说我走路像一只鳄鱼 健身	未
运动也要“适可而止”，8个表现提醒你锻炼过度了	未
运动健身高手在民间 ！他们的健身方法能让你惊掉下巴	未
运动前十分钟热身法，一个泡沫轴就能帮你搞定	未
运动后用这3招滚泡沫轴，帮你告别“肌肉腿”	未
运动员久坐打游戏危害大埃梅里在与卡拉巴克的欧联杯赛前发布会上，回应了厄齐尔的背伤恢复与玩游戏之间的关系，表示并不知情但仍会让其出场此前英媒曾爆料，厄齐尔沉迷于游戏堡垒之夜，平均每天游戏时间达到5小时，这也导致德国人的背伤恢复缓慢科隆体育学院的体育康复教授告诉 ...全文	未
运动员久坐打游戏危害大埃梅里在与卡拉巴克的欧联杯赛前发布会上，回应了厄齐尔的背伤恢复与玩游戏之间的关系，表示并不知情但仍会让其出场。此前英媒曾爆料，厄齐尔沉迷于游戏《堡垒之夜》，平均每天游戏时间达到5小时，这也导致德国人的背伤恢复缓慢。科隆体育学院的体育康复教授告诉《图片报》，厄齐尔的伤病可能与玩游戏有关：一个竞技运动员，对久坐的反应会比普通人强烈。因为他们的身体结构已经适应了高强度的训练。一个普通人就不会这么敏感。	未
运动员参军好处多大？二战日本尝到甜头，给盟军造成大量伤亡	未
运动手环“0元购”？常州100多位市民上了当！	未
运动时这些怪现象你有吗别大意，可能是身体在呼救！	未
运去哪获住友商事B1轮战略融资张家口爆炸事故致22死22伤，伤员大部分是货车司机百世快递在泰国大曼谷地区正式起网等	未
运城209国道上开车打手机车毁人亡，家属悲痛欲绝	未
运城8路公交发生的一幕，这个公交车司机火了，谁认识	未
运城8路公交车发生的一幕，这个公交车司机火了！谁认识	未
运城8路公交车司机，因为这事被电视台曝光，快看看你认识吗	未
运城8路公交车司机火了！快看你认识吗	未
运城一司机两万元买来假证，开车全国各地跑	未
运城一大批行人闯红灯被电视台曝光啦！快看有你认识的么?	未
运城一女子长期喝蜂蜜，竟然发生了意想不到的变化	未
运城一小货车与奔驰车相撞，女司机被吓傻，小货车车头全部凹陷	未
运城一民政局局长被省纪委曝光！快看看是因为啥...	未
运城一河边发现女尸！谁认识！	未
运城一男子放羊意外捡到天外来物，这是捡到宝了吗	未
运城一男子竟然在各村镇卖病死猪肉，注意！	未
运城一男子竟然在各村镇卖病死猪肉，运城人小心啦！	未
运城一老人骑电动车时突然冒烟！	未
运城中心医院这个医生火了，电视台都曝光了！你认识吗	未
运城人：告别了，火车票！铁路总公司宣布大消息	未
运城人注意了乘坐这样的黑车，你真的不害怕吗	未
运城人注意了！坐公交遇到这样的暗号就要小心了	未
运城人注意：微信语音也能骗人赶紧看，告诉家人朋友 ！	未
运城人赶紧看：女子路上遭遇抱大腿，一分钟后金手镯没了！	未
运城公安局破案抓获14人，快看看你认识吗	未
运城公安局破获一起盗墓案，共抓获14人，快看看你认识吗	未
运城关注运城人注意啦！！！近期接到这个电话千万别挂，因为......	未
运城关注运城已有很多人被消费，一定要警惕！	未
运城关注运城这几个小伙自费拍了个运城宣传片，网友却说拍出了运城的脊梁！	未
运城出发， 不到50块， 这里藏着一座地下城池！看你去过吗	未
运城北郊一小区业主们拉条幅，这是怎么回事	未
运城北郊这个小区，被列入棚户区改造，快看是你小区吗	未
运城北郊这个小区，被列入棚户区改造，快看看是哪里	未
运城华联，还有戏吗	未
运城又要限号了，真相在这里！	未
运城司机注意了！冬季来临你知道全市危险路段在哪吗速看	未
运城名叫杨宏武的，你知道你有孙子了吗回家看看吧孩子们都想你了！	未
运城夏县村里面来了野生鹿，惊动电视台！	未
运城多车着火！现场视频图片曝光！一三轮车充电期间着火情况危急	未
运城大胆司机既然毒驾！遇查车弃车就跑！	未
运城！大雪里围着塑料袋吃摊子！有所法呢	未
运城天价车祸一轿车与百万劳斯莱斯相撞，这得赔多少钱	未
运城头条全城扩散！寻找肇事逃逸目击者！漠视生命！天理难容！！！	未
运城头条寻找肇事逃逸目击者！漠视生命！天理难容！	未
运城头条紧急扩散！！！明天起开始限行，连续45天！！！	未
运城头条紧急扩散！运城今晚23点大停电！覆盖大半个运城！快看看有你家吗	未
运城头条运城11月23号日开始限行真相是.....	未
运城头条限行通知：12月7日起运城实施机动车单双号限行，望相互转告！	未
运城！孤儿寡母真可伶，谁来帮帮他们！	未
运城小伙伴们，你们知道三十年前结婚是啥样吗	未
运城市首家社区戒毒（康复）工作服务中心在盐湖区揭牌成立	未
运城开始限行了最新通知，运城启动重污染天气紧急措施！	未
运城很多地方都有，这种水真的放心吗	未
运城很多小区都有，这种水你还敢喝吗	未
运城扩散再见！纸质火车票！电子票将推出市面，再也不用排队取票啦！	未
运城扩散啥！！运城盐池竟然惊现野生白狐赶紧来看！！	未
运城扩散就今晚！运城这几个地方今天临时停电！快看看有没有你家	未
运城扩散就在运城东边，盐池边上要新建个东禁门快看看长啥样！	未
运城扩散运城已有很多人被消费，一定要警惕！	未
运城扩散运城村里面竟然来了野生鹿，惊动电视台！	未
运城昨天下雪，有的地方还下起了冰雹！	未
运城昨天有的地方下雪，有的地方下的是冰雹！你知道吗	未
运城最牛小区物业：要想接暖气，除非把我...	未
运城的杨宏武，你在哪现在你有俩孙子了，快回家看看吧！	未
运城的杨宏武，现在你有俩孙子了，回家看看吧！	未
运城盐池惊现白狐，网友说是来找夜华的！	未
运城盐池惊现白狐视频图片都有！赶紧来看！	未
运城盐池惊现白狐赶紧来看！	未
运城盐池惊现野生白狐赶紧来看！！	未
运城盐池竟然惊现野生白狐快看！	未
运城盐池竟然惊现野生白狐赶紧来看！！	未
运城盐池边上要新建个东禁门快看看长啥样！	未
运城突发大火，一家人无家可归，请帮帮可怜的一家！	未
运城红色宝马撞万荣小女孩案，真相来了！	未
运城红色宝马撞人案，真相来了！	未
运城老汉放羊，忽然听见唰的一声，天上竟掉下一个东西！	未
运城警察卧底记者三方配合联动一举端掉传销团伙	未
